iter	Passed	Remaining
0	42	42342
1	47	23570
2	68	22691
3	108	27094
4	155	30943
5	157	26086
6	159	22595
7	182	22602
8	183	20235
9	185	18344
10	188	16980
11	214	17661
12	216	16464
13	265	18709
14	268	17615
15	286	17613
16	287	16639
17	289	15795
18	291	15052
19	293	14401
20	344	16067
21	368	16367
22	386	16404
23	391	15910
24	394	15371
25	395	14824
26	405	14621
27	414	14396
28	416	13937
29	418	13546
30	430	13456
31	475	14387
32	477	14001
33	480	13641
34	559	15424
35	563	15085
36	570	14848
37	580	14689
38	612	15098
39	669	16062
40	675	15788
41	723	16494
42	725	16143
43	816	17743
44	818	17378
45	821	17035
46	864	17525
47	866	17175
48	885	17187
49	901	17137
50	917	17068
51	935	17046
52	937	16752
53	940	16470
54	943	16210
55	948	15985
56	956	15829
57	959	15583
58	965	15398
59	982	15387
60	985	15172
61	988	14949
62	995	14805
63	999	14619
64	1002	14422
65	1040	14724
66	1050	14633
67	1086	14891
68	1091	14725
69	1096	14561
70	1121	14672
71	1125	14509
72	1127	14320
73	1137	14232
74	1140	14062
75	1171	14237
76	1187	14233
77	1204	14240
78	1206	14071
79	1208	13901
80	1229	13952
81	1231	13788
82	1233	13625
83	1260	13740
84	1262	13588
85	1269	13494
86	1273	13368
87	1276	13232
88	1289	13194
89	1294	13086
90	1295	12943
91	1322	13047
92	1324	12917
93	1379	13293
94	1381	13158
95	1382	13015
96	1383	12876
97	1386	12759
98	1413	12861
99	1435	12919
100	1437	12792
101	1445	12727
102	1456	12680
103	1460	12581
104	1467	12507
105	1473	12423
106	1476	12321
107	1480	12227
108	1483	12122
109	1488	12044
110	1508	12081
111	1510	11979
112	1518	11918
113	1519	11811
114	1523	11722
115	1525	11625
116	1537	11603
117	1548	11577
118	1550	11475
119	1572	11532
120	1577	11462
121	1580	11372
122	1581	11277
123	1605	11341
124	1614	11301
125	1622	11251
126	1643	11296
127	1644	11205
128	1683	11366
129	1686	11287
130	1692	11224
131	1708	11234
132	1709	11144
133	1710	11056
134	1711	10968
135	1751	11130
136	1754	11050
137	1770	11057
138	1790	11089
139	1793	11015
140	1794	10932
141	1838	11110
142	1840	11027
143	1849	10997
144	1854	10935
145	1864	10908
146	1867	10834
147	1868	10755
148	1882	10753
149	1885	10684
150	1887	10611
151	1890	10545
152	1892	10476
153	1894	10407
154	1920	10471
155	1923	10404
156	1924	10335
157	1939	10338
158	1942	10273
159	1944	10209
160	1960	10217
161	1962	10152
162	1976	10148
163	1978	10084
164	1996	10102
165	1997	10035
166	2021	10081
167	2022	10014
168	2024	9953
169	2026	9894
170	2070	10037
171	2072	9977
172	2074	9916
173	2083	9888
174	2089	9852
175	2091	9791
176	2092	9730
177	2093	9669
178	2095	9612
179	2112	9621
180	2120	9594
181	2124	9547
182	2168	9682
183	2172	9636
184	2189	9644
185	2190	9587
186	2192	9531
187	2201	9509
188	2227	9559
189	2245	9572
190	2246	9517
191	2248	9461
192	2249	9406
193	2251	9355
194	2253	9304
195	2255	9252
196	2257	9202
197	2259	9151
198	2261	9103
199	2263	9053
200	2265	9006
201	2276	8992
202	2301	9036
203	2304	8991
204	2306	8944
205	2308	8898
206	2317	8876
207	2326	8858
208	2330	8819
209	2341	8807
210	2348	8782
211	2377	8835
212	2380	8794
213	2422	8895
214	2424	8850
215	2426	8806
216	2427	8759
217	2454	8805
218	2456	8761
219	2458	8717
220	2480	8741
221	2482	8700
222	2501	8715
223	2508	8691
224	2514	8662
225	2516	8617
226	2518	8575
227	2538	8595
228	2545	8571
229	2593	8681
230	2595	8640
231	2610	8641
232	2623	8637
233	2631	8612
234	2652	8635
235	2670	8646
236	2675	8614
237	2677	8573
238	2682	8542
239	2685	8504
240	2717	8557
241	2727	8542
242	2730	8505
243	2733	8468
244	2753	8485
245	2755	8445
246	2757	8407
247	2759	8368
248	2776	8372
249	2777	8331
250	2778	8292
251	2800	8311
252	2804	8280
253	2815	8270
254	2820	8239
255	2824	8208
256	2825	8169
257	2839	8165
258	2858	8178
259	2864	8151
260	2867	8119
261	2891	8145
262	2904	8140
263	2906	8104
264	2908	8068
265	2911	8033
266	2912	7995
267	2919	7973
268	2943	7998
269	2995	8099
270	2998	8066
271	3024	8093
272	3025	8057
273	3048	8078
274	3051	8045
275	3057	8021
276	3070	8014
277	3091	8029
278	3093	7993
279	3115	8010
280	3117	7975
281	3118	7939
282	3120	7907
283	3122	7871
284	3123	7835
285	3125	7801
286	3152	7831
287	3154	7799
288	3160	7775
289	3169	7759
290	3177	7741
291	3180	7711
292	3208	7741
293	3209	7707
294	3210	7673
