iter	Passed	Remaining
0	1	1644
1	2	1297
2	3	1079
3	3	874
4	4	936
5	8	1357
6	8	1256
7	9	1179
8	10	1161
9	12	1259
10	15	1357
11	17	1430
12	18	1429
13	20	1476
14	24	1591
15	29	1821
16	31	1835
17	35	1918
18	36	1897
19	38	1867
20	40	1865
21	40	1805
22	42	1802
23	44	1796
24	46	1801
25	47	1786
26	48	1755
27	50	1747
28	53	1781
29	53	1735
30	54	1695
31	54	1656
32	55	1627
33	56	1615
34	58	1599
35	59	1585
36	60	1579
37	61	1551
38	61	1524
39	62	1501
40	65	1524
41	66	1511
42	67	1505
43	69	1507
44	70	1499
45	72	1494
46	72	1471
47	73	1466
48	76	1490
49	78	1487
50	80	1490
51	81	1490
52	84	1514
53	85	1494
54	86	1482
55	87	1479
56	88	1471
57	91	1485
58	92	1476
59	93	1469
60	95	1471
61	96	1463
62	97	1447
63	98	1434
64	100	1451
65	101	1437
66	102	1425
67	103	1422
68	104	1408
69	104	1394
70	107	1406
71	108	1401
72	110	1402
73	110	1388
74	111	1374
75	112	1362
76	115	1378
77	116	1377
78	118	1384
79	119	1373
80	120	1370
81	122	1368
82	122	1358
83	123	1347
84	124	1336
85	124	1324
86	125	1313
87	128	1330
88	130	1337
89	132	1337
90	132	1328
91	133	1317
92	134	1314
93	135	1305
94	137	1308
95	138	1300
96	139	1298
97	141	1301
98	142	1298
99	143	1290
100	143	1281
101	144	1271
102	145	1265
103	147	1270
104	148	1265
105	149	1259
106	150	1256
107	151	1247
108	153	1250
109	154	1249
110	155	1248
111	158	1254
112	161	1264
113	162	1260
114	164	1267
115	167	1277
116	168	1274
117	169	1270
118	172	1276
119	174	1282
120	176	1283
121	180	1298
122	182	1298
123	183	1298
124	187	1313
125	188	1309
126	189	1305
127	192	1312
128	193	1309
129	196	1315
130	197	1311
131	199	1310
132	200	1306
133	201	1305
134	203	1302
135	204	1297
136	206	1299
137	207	1295
138	207	1287
139	208	1279
140	208	1273
141	210	1271
142	212	1275
143	213	1270
144	214	1263
145	215	1262
146	217	1262
147	218	1259
148	220	1259
149	222	1259
150	222	1252
151	223	1246
152	224	1242
153	225	1237
154	225	1231
155	227	1231
156	229	1234
157	230	1230
158	232	1230
159	234	1231
160	235	1226
161	236	1223
162	237	1217
163	239	1218
164	240	1215
165	241	1211
166	242	1207
167	243	1204
168	244	1202
169	246	1204
170	248	1204
171	250	1204
172	253	1210
173	254	1207
174	257	1211
175	257	1206
176	258	1204
177	260	1204
178	263	1206
179	265	1209
180	267	1210
181	268	1207
182	271	1211
183	274	1215
184	275	1213
185	276	1207
186	276	1203
187	279	1207
188	279	1200
189	281	1201
190	282	1198
191	284	1195
192	284	1190
193	285	1184
194	285	1178
195	286	1174
196	288	1174
197	289	1171
198	290	1168
199	292	1169
200	293	1168
201	296	1170
202	296	1164
203	297	1160
204	299	1161
205	300	1156
206	300	1152
207	302	1151
208	303	1147
209	304	1144
210	304	1139
211	305	1134
212	306	1130
213	306	1125
214	307	1121
215	307	1116
216	309	1117
217	311	1116
218	311	1111
219	312	1108
220	313	1104
221	315	1105
222	316	1104
223	317	1099
224	319	1099
225	321	1100
226	322	1099
227	324	1098
228	325	1094
229	325	1091
230	328	1093
231	329	1091
232	330	1086
233	332	1088
234	333	1086
235	334	1082
236	335	1078
237	335	1075
238	336	1072
239	340	1079
240	342	1079
241	346	1086
242	347	1081
243	348	1080
244	350	1080
245	353	1083
246	355	1082
247	356	1081
248	357	1077
249	357	1073
250	359	1071
251	360	1070
252	361	1068
253	363	1068
254	364	1064
255	365	1061
256	366	1058
257	366	1054
258	367	1050
259	367	1046
260	368	1044
261	369	1041
262	372	1042
263	377	1051
264	378	1049
265	384	1060
266	385	1059
267	387	1057
268	388	1055
269	388	1051
270	389	1047
271	390	1045
272	391	1043
273	394	1045
274	395	1043
275	397	1041
276	399	1043
277	401	1041
278	402	1040
279	403	1037
280	403	1033
281	404	1030
282	406	1029
283	407	1026
284	407	1023
285	410	1024
286	411	1021
287	413	1021
288	413	1017
289	414	1014
290	415	1011
291	417	1011
292	418	1009
293	419	1007
294	420	1004
295	421	1002
296	422	999
297	422	995
298	422	991
299	424	991
300	425	988
301	426	984
302	426	981
303	427	977
304	428	975
305	429	973
306	430	971
307	431	969
308	433	968
309	435	969
310	436	967
311	439	968
312	439	964
313	439	960
314	440	958
315	441	955
316	441	951
317	442	948
318	444	948
319	444	945
320	445	942
321	446	941
322	448	940
323	450	939
324	450	935
325	451	933
326	452	930
327	452	927
328	453	924
329	453	921
330	454	917
331	454	914
332	456	913
333	456	911
334	457	909
335	458	906
336	460	905
337	461	904
338	462	901
339	463	899
340	464	898
341	465	896
342	467	894
343	467	892
344	468	889
345	468	886
346	469	884
347	470	881
348	472	880
349	473	879
350	474	877
351	475	875
352	476	873
353	477	872
354	478	869
355	479	867
356	481	866
357	482	865
358	483	864
359	485	863
360	487	862
361	487	859
362	488	856
363	488	853
364	489	851
365	490	849
366	491	848
367	492	846
368	494	844
369	495	843
370	495	840
371	497	839
372	497	836
373	498	835
374	500	834
375	501	831
376	502	830
377	503	828
378	505	827
379	505	825
380	506	822
381	507	821
382	508	818
383	509	816
384	509	814
385	510	812
386	511	809
387	511	806
388	512	804
389	513	803
390	514	801
391	515	799
392	516	797
393	517	795
394	518	793
395	519	792
396	520	790
397	520	788
398	521	785
399	522	783
400	522	780
401	523	779
402	524	777
403	525	775
404	526	773
