iter	Passed	Remaining
0	2	2782
1	4	2207
2	7	2589
3	9	2358
4	11	2311
5	14	2334
6	15	2158
7	16	1994
8	18	2078
9	21	2108
10	23	2151
11	25	2105
12	28	2156
13	30	2170
14	32	2110
15	33	2029
16	34	2006
17	38	2120
18	40	2092
19	42	2089
20	44	2078
21	48	2170
22	49	2115
23	50	2061
24	52	2049
25	55	2076
26	56	2047
27	59	2073
28	62	2078
29	63	2051
30	64	2014
31	65	1977
32	66	1946
33	68	1949
34	69	1927
35	72	1933
36	74	1938
37	75	1904
38	76	1879
39	78	1883
40	79	1867
41	81	1854
42	82	1827
43	83	1813
44	84	1799
45	86	1791
46	88	1803
47	90	1790
48	91	1769
49	92	1749
50	95	1767
51	95	1748
52	97	1737
53	98	1731
54	100	1725
55	102	1719
56	103	1717
57	105	1716
58	109	1753
59	111	1746
60	113	1747
61	115	1747
62	117	1744
63	119	1750
64	123	1776
65	125	1777
66	127	1781
67	130	1783
68	131	1779
69	133	1769
70	136	1784
71	139	1801
72	141	1797
73	142	1786
74	143	1773
75	145	1773
76	147	1767
77	148	1759
78	151	1767
79	152	1755
80	153	1746
81	157	1767
82	159	1762
83	160	1747
84	160	1732
85	162	1721
86	163	1717
87	165	1714
88	166	1702
89	167	1697
90	170	1702
91	171	1696
92	172	1683
93	174	1679
94	176	1678
95	178	1683
96	181	1693
97	183	1688
98	185	1686
99	186	1682
100	187	1672
101	189	1670
102	191	1671
103	192	1659
104	192	1645
105	194	1637
106	195	1635
107	197	1632
108	198	1626
109	200	1621
110	201	1616
111	204	1622
112	205	1613
113	207	1610
114	209	1613
115	210	1607
116	212	1605
117	213	1594
118	213	1583
119	216	1584
120	217	1582
121	220	1590
122	222	1588
123	223	1580
124	224	1571
125	225	1566
126	228	1568
127	230	1569
128	231	1562
129	233	1560
130	234	1555
131	238	1570
132	239	1562
133	242	1564
134	245	1569
135	247	1574
136	251	1584
137	252	1578
138	254	1575
139	256	1578
140	258	1573
141	259	1568
142	260	1562
143	261	1557
144	264	1561
145	266	1556
146	267	1550
147	268	1545
148	271	1548
149	271	1541
150	272	1534
151	274	1531
152	277	1537
153	279	1534
154	280	1530
155	282	1526
156	284	1528
157	288	1539
158	290	1534
159	291	1529
160	292	1525
161	294	1523
162	296	1520
163	298	1520
164	300	1518
165	302	1518
166	303	1515
167	304	1509
168	306	1508
169	307	1502
170	309	1500
171	310	1494
172	311	1488
173	313	1488
174	314	1482
175	314	1473
176	316	1469
177	317	1465
178	318	1461
179	320	1457
180	320	1451
181	322	1449
182	324	1447
183	325	1444
184	329	1450
185	331	1451
186	334	1453
187	336	1451
188	337	1449
189	338	1444
190	339	1439
191	342	1440
192	343	1437
193	345	1434
194	346	1429
195	347	1426
196	349	1425
197	351	1424
198	353	1422
199	359	1436
200	361	1437
201	363	1437
202	364	1431
203	365	1427
204	367	1425
205	368	1419
206	371	1421
207	372	1417
208	373	1411
209	374	1408
210	375	1405
211	376	1401
212	378	1397
213	379	1394
214	380	1389
215	383	1393
216	384	1388
217	385	1382
218	387	1382
219	388	1378
220	389	1373
221	391	1371
222	392	1366
223	393	1363
224	394	1359
225	395	1354
226	396	1350
227	398	1350
228	400	1347
229	401	1344
230	402	1340
231	403	1336
232	405	1334
